id;user_id;topic_id;post_id;raw;error;message_id;from_address;to_addresses;cc_addresses;subject;rejection_message;is_auto_generated;is_bounce;imap_uid_validity;imap_uid;imap_sync;imap_group_id;imap_missing;created_via
1;Small;49061;36297;teal;parse Awesome Money Market Account;target;Maldives Soft Realigned;invoice;aggregate;Cheese;orchestrate Solutions mint green;false;false;88848;13568;false;14267;false;76300
2;Fiji Dollar;25656;79911;cultivate generate;SQL;Soft;Bedfordshire;Grenada navigating;Bedfordshire parsing bus;Idaho;Identity portal Luxembourg;false;false;5291;23007;true;85788;true;40417
3;SAS transmit;88561;53566;seize;TCP;intermediate;Ergonomic Steel Shoes;Intelligent;GB bandwidth fuchsia;open-source Administrator function;Tasty Metal Hat Advanced Health;false;true;50359;28192;true;19780;true;29187
4;orange Architect Ergonomic;19487;43896;generating Games Accounts;Associate reboot Pa'anga;Home Loan Account budgetary management;Identity Future Solutions;Steel;Cuban Peso Peso Convertible mindshare;Granite Mouse Handcrafted;user-centric;true;true;97885;83965;false;14543;true;3853
5;Sudanese Pound Jewelery;27282;99808;payment utilize HDD;Personal Loan Account deposit;Chips invoice Buckinghamshire;Administrator ability;lime Shores;Lake Savings Account;digital;white holistic parsing;true;false;24642;92525;true;31511;true;998
6;Fort;84036;32001;Won transmitting yellow;syndicate compress;global;Incredible Rubber Tuna;Lebanese Pound;Mississippi homogeneous;exuding Consultant;client-server Legacy Cambridgeshire;true;false;66162;69758;false;51852;true;63349
7;Facilitator Jewelery Cotton;30043;93455;compress Baht;Cambridgeshire;Bolivar Fuerte Steel;Berkshire Architect backing up;Borders Functionality Bedfordshire;plum Profit-focused;empower connect;interactive facilitate open-source;false;false;38392;94763;true;34338;true;85209
8;bus;86777;24518;Customer;Bedfordshire Auto Loan Account;GB Wooden;connect;Bedfordshire;invoice haptic Clothing;open-source EXE systems;Rustic Plastic Mouse;false;true;89007;98741;false;37925;true;25028
9;Sleek Steel Chicken;44887;13679;extranet;National uniform;Alabama plug-and-play Lilangeni;Handcrafted Rubber Keyboard integrated;Computer invoice;impactful Baby;UAE Dirham transmit;Tuna navigate EXE;false;false;563;64178;true;11218;false;59860
10;Unbranded Metal Mouse;18731;63936;Norfolk Island Robust;SCSI Path Falls;Chicken visionary users;Grenada Samoa;Configurable parse;Islands transmitting dynamic;Bosnia and Herzegovina synthesize;Triple-buffered;false;false;81851;69031;false;4463;true;31407
