id;user_id;location;website;bio_raw;bio_cooked;dismissed_banner_key;bio_cooked_version;badge_granted_title;views;profile_background_upload_id;card_background_upload_id;granted_title_badge_id;featured_topic_id
1;Small Baht Shoes;Granite Home Loan Account;Frozen backing up;Washington XSS Micronesia;architecture Island parse;24039;23546;false;23501;41986;85441;35423;87560
2;Pa'anga task-force;system Cheese;heuristic payment;Frozen;hard drive;26553;85855;false;7706;64247;34876;35876;73348
3;Frozen;olive Shirt models;portals THX cross-platform;best-of-breed migration Programmable;mesh customized Automotive;81386;9364;false;33024;91412;5749;69562;90165
4;fuchsia Borders Berkshire;Principal;systems Rustic Fresh Chicken;Burkina Faso virtual salmon;robust Home Loan Account invoice;21870;39066;false;96294;67591;35974;3972;9688
5;clicks-and-mortar;bluetooth turquoise Brunei Darussalam;plug-and-play;content interface Gorgeous;architect;26516;50456;false;45739;47185;91815;4085;75147
6;communities Rubber paradigm;invoice FTP;synthesizing real-time;strategize Generic Administrator;Idaho Tanzanian Shilling;59100;88379;true;41777;54851;97954;89659;15989
7;Dominica;primary supply-chains;Division;Automotive;systems Loaf;11725;27565;true;8820;92786;60039;47852;31625
8;Fantastic Fresh Bacon Tasty synergize;transition Infrastructure;District Dynamic;cross-platform Small;Ways Shoes Sleek Frozen Soap;80501;11782;false;85490;12985;79090;26741;96497
9;Wisconsin Paradigm Agent;card Industrial;Checking Account Chief;User-friendly;Human;92139;34287;true;19964;60752;82904;74805;74343
10;explicit Saint Kitts and Nevis;composite synergize Response;sensor transparent;New Israeli Sheqel lavender RAM;Borders AI;49146;42746;true;57854;25073;990;76199;65310
