id;group_id;acting_user_id;target_user_id;action;subject;prev_value;new_value;updated_at
1;11578;24/7;Health core;5230;Bike;Strategist grey Georgia;Identity;2021-05-23T13:24:56
2;2400;Generic Fresh Shirt Berkshire connecting;e-business;41905;Mobility Liaison Pine;protocol;Rand;2021-05-24T08:06:00
3;34677;Outdoors framework;flexibility;67129;synergies;communities gold interactive;bluetooth Berkshire SCSI;2021-05-23T15:43:39
4;46589;bypassing cross-platform impactful;Borders optimal;22503;Saint Vincent and the Grenadines integrate Burundi Franc;clear-thinking;wireless;2021-05-23T16:38:45
5;84149;Books bluetooth;Albania;67697;SMS;Tactics;dedicated;2021-05-23T18:20:30
6;64177;Hawaii red;Buckinghamshire;48664;Pants Guam Timor-Leste;AI Ball;SMS Oregon Club;2021-05-24T00:01:03
7;18938;functionalities transparent deposit;matrix;56337;Bedfordshire ADP;solution Games;Credit Card Account toolset;2021-05-24T01:46:23
8;49941;Buckinghamshire Codes specifically reserved for testing purposes;Usability South Dakota User-centric;60112;Concrete methodical Tactics;Re-contextualized Kids Lane;AI Rubber grow;2021-05-23T23:04:43
9;6117;value-added Assimilated;quantify;2637;Tasty Wooden Mouse bypassing;Regional;scalable SAS Refined Wooden Salad;2021-05-23T23:39:32
10;28621;extranet mobile Borders;program optical;38232;Fresh value-added;Tokelau orange;SMS;2021-05-23T16:26:46
