id;locale;translation_key;value;compiled_js
1;Rand Sao Tome and Principe invoice;Malaysia;EXE;protocol Nepalese Rupee action-items
2;transmitter deposit Rustic;Maryland;discrete Phased hacking;Radial Cambridgeshire
3;Practical Frozen Computer monitor navigating;Shirt;Steel Home Loan Account USB;overriding payment
4;Small Research;Tools;Licensed;Savings Account International
5;Savings Account transmitting;primary;Sleek Creative;system
6;monitoring Sports New Hampshire;payment redundant Grocery;Small;Configuration collaborative
7;frame Avon fault-tolerant;invoice Wisconsin Investor;Decentralized experiences;digital Producer
8;firewall bifurcated;Generic Steel Pants Zimbabwe Granite;maximize value-added;users Enhanced facilitate
9;cultivate Centralized;withdrawal parse white;HDD;transmitting Views Swaziland
10;Principal;deposit bluetooth;RSS;Arkansas Handmade Frozen Car
