id;name;automatic;user_count;automatic_membership_email_domains;primary_group;title;grant_trust_level;incoming_email;has_messages;flair_url;flair_bg_color;flair_color;bio_raw;bio_cooked;allow_membership_requests;full_name;default_notification_level;visibility_level;public_exit;public_admission;membership_request_template;messageable_level;mentionable_level;smtp_server;smtp_port;smtp_ssl;imap_server;imap_port;imap_ssl;imap_mailbox_name;imap_uid_validity;imap_last_uid;email_username;email_password;publish_read_state;members_visibility_level;imap_last_error;imap_old_emails;imap_new_emails;flair_icon;flair_upload_id;allow_unknown_sender_topic_replies
1;Hat District Concrete;true;91535;invoice National Faroe Islands;false;Investment Account heuristic Guinea Franc;52532;capacitor;true;Intranet strategic;North Carolina visualize;Senegal;payment District Money Market Account;Technician hard drive;false;RAM;28499;56552;true;false;adapter monetize;82948;60653;Keyboard workforce;60227;true;Movies Business-focused;91372;true;Savings Account Coordinator Dominican Peso;47676;36446;Mall;metrics mobile;true;21913;Security Tactics;24057;58629;deliver Radial Kiribati;80303;false
2;withdrawal benchmark;false;38607;AI Corporate;false;lime protocol;26981;Small;false;Incredible;transmit program;Pennsylvania India Plastic;Virgin Islands, U.S. EXE Handcrafted;Corner Investor;true;black;48283;26646;false;true;monitor Producer Credit Card Account;66364;48569;Unbranded Granite Salad reintermediate;32228;true;service-desk;46082;true;software;58877;9792;Quetzal digital;hard drive;true;53423;Center;53526;66880;policy Mexican Peso Mexican Unidad de Inversion (UDI) Borders;85784;true
3;Intelligent;false;94680;Yemen haptic JBOD;true;incubate;6686;Home;false;indexing Awesome Steel Car;Handcrafted Steel Towels 1080p;reboot;Locks;deposit Forward Specialist;false;Hawaii Lane;13752;52389;false;true;web services drive overriding;87628;17534;Metal Metal;25742;true;grey Customer architect;13901;true;navigate;78776;55290;Tools Pants Functionality;Florida;false;2937;dedicated International copying;5512;42447;Small Steel Pizza Berkshire Metal;55686;false
4;didactic Electronics Orchestrator;true;93189;violet index payment;false;Factors channels;66871;International Profound;true;intangible Manors framework;Money Market Account Croatia;benchmark engage web-enabled;Home Loan Account Cambridgeshire Tanzanian Shilling;Bacon;false;JBOD Awesome;8013;22424;true;false;relationships lavender Liaison;8095;73800;synthesize Pennsylvania;72232;false;maximized Agent;97340;true;emulation;87553;51485;end-to-end lime Group;Chief users;false;28937;Home Loan Account;83760;28157;Mobility;62571;false
5;Steel impactful multi-state;true;65365;Burundi Franc SCSI iterate;true;indexing task-force;3885;Car compress;false;architectures;Credit Card Account;application back-end;CFA Franc BEAC Cliff;Designer navigate Avon;true;Avon Cheese;40244;92349;true;false;Licensed;13409;68493;payment;20182;true;invoice;16198;false;IB Ameliorated RSS;63793;11509;blue;Specialist Port Drives;false;26276;deposit user-centric Pennsylvania;13698;39350;utilisation;7442;false
6;standardization digital Stream;false;48146;Auto Loan Account;true;Markets;21685;Home Loan Account;true;Fish client-server navigate;Syrian Pound Generic;generating Chair Plastic;online Rubber;Islands;true;Kentucky North Carolina;59578;78465;false;true;Mouse Creative;96617;80967;Associate deposit Money Market Account;16269;false;Practical;57214;true;grey TCP Incredible;67372;55080;Investor;Zimbabwe Dollar Kids;true;71436;24/7 Drive;29277;94076;Investment Account Electronics olive;98502;true
7;Table;false;50086;turquoise port Investment Account;true;Switchable ubiquitous Auto Loan Account;77190;Producer;false;User-centric;granular Intelligent attitude;Investor Cambridgeshire;Connecticut Rustic;Adaptive;false;eyeballs index Metal;55793;94980;true;false;El Salvador Colon US Dollar;8203;12582;Chips Baht;94672;true;Turnpike;65790;false;Orchestrator collaboration;38072;27378;Chair leverage Orchestrator;tan Plains e-markets;true;45768;Bedfordshire Gorgeous Frozen Table;95804;71109;Swiss Franc harness European Monetary Unit (E.M.U.-6);66086;true
8;Principal Intelligent Cotton Computer;true;86814;Florida;true;application;71213;high-level;true;Grocery Fantastic Car;mindshare Strategist;RSS feed dot-com;Chair Kuwait Brunei Dollar;Unbranded;false;Tuna generate Savings Account;94532;5885;false;true;Vermont payment Jamaican Dollar;96815;96580;compressing e-services;3742;true;process improvement IB;59667;false;Argentina;58764;49528;Washington Towels;attitude;true;60171;program ROI deposit;23367;83597;client-server multimedia generating;77239;false
9;Paradigm infomediaries;true;97078;Global Enhanced schemas;true;Graphical User Interface;76493;Chair;true;Central Unbranded Frozen Pants;azure;Incredible Steel Towels Implementation;Intelligent Plastic Chair;District regional;false;architect Flats asynchronous;49802;41866;true;true;Tasty Metal Soap Checking Account;33816;25985;invoice Producer;44647;true;application withdrawal;66884;false;Buckinghamshire primary;14838;85182;Stravenue integrate transparent;Bedfordshire SSL Concrete;true;7507;robust Metal;79937;50651;copying;2493;false
10;Car;false;11842;Licensed Rubber Tuna SQL Extended;true;Concrete solid state Eritrea;53869;Gorgeous;false;modular deposit interfaces;Baby Incredible Wooden Bike;Bacon multi-tasking;Congo auxiliary Personal Loan Account;olive compressing;false;CFA Franc BCEAO;90699;24608;false;false;enable Borders system-worthy;68693;7243;Operations Indiana;38449;true;turn-key;87034;true;Bedfordshire;18445;58303;Licensed;Personal Loan Account;false;13344;Designer;10546;18526;Investment Account withdrawal salmon;84661;true
