id;user_id;draft_key;data;sequence;revisions;owner
1;Customer-focused Investment Account optimize;e-commerce Savings Account Response;Home;12751;11931;payment Manager
2;forecast open-source;Chief;Creative Graphical User Interface green;11259;22058;enterprise Home Loan Account
3;Concrete Macedonia;compress wireless Gorgeous Cotton Shirt;Soap Buckinghamshire Plains;18807;48869;service-desk Customer Station
4;task-force;Granite Checking Account;Auto Loan Account capacitor;34760;58966;exploit Borders bluetooth
5;override online;Forward;portals Investment Account;34493;21695;COM reboot Licensed Fresh Keyboard
6;Planner monitor Netherlands;Principal Shoes;Bedfordshire;28744;90843;e-enable payment Shore
7;Tunisia protocol Street;Wooden Usability deploy;Kansas Bermuda interface;25124;49138;Licensed Wooden Towels Reverse-engineered synthesizing
8;Kyrgyz Republic deposit;synergy Stream Checking Account;customer loyalty;89502;64161;Checking Account Granite
9;Peso Uruguayo Uruguay Peso en Unidades Indexadas;Samoa Sleek calculating;core clear-thinking infrastructures;91617;93072;Cheese
10;Optimization payment back-end;Operations;mint green;66563;63573;Planner Principal Personal Loan Account
