id;to_address;email_type;user_id;post_id;bounce_key;bounced;message_id
1;archive synergistic;Cambridgeshire Data brand;action-items Hat Public-key;3029;Technician Consultant;true;redefine Turkey Customizable
2;protocol Saint Helena;Gorgeous Rubber Chicken;transmitting SMS South Carolina;22475;Rial Omani;true;compressing
3;Horizontal solutions;cohesive interactive Metal;Auto Loan Account;73858;Handcrafted holistic Producer;false;Personal Loan Account parse
4;visualize reboot Gorgeous;sticky Agent foreground;Ethiopia Representative;47665;lavender Incredible efficient;true;quantifying Frozen
5;Malta;Identity synergy Specialist;Refined Shirt Avon;3719;Fantastic Steel Ball;true;Auto Loan Account
6;mobile parse;Bahamian Dollar Personal Loan Account;El Salvador Colon US Dollar;70689;alarm;false;Flat silver Somoni
7;Awesome;Oregon ivory compressing;enterprise quantifying Delaware;78304;Utah Personal Loan Account Buckinghamshire;true;Run Cotton Money Market Account
8;circuit Legacy;Horizontal;orchid;79887;Officer Corporate seamless;false;Spurs Licensed Soft Keyboard
9;optical back up content-based;hard drive Exclusive redundant;Svalbard & Jan Mayen Islands visualize homogeneous;81489;fault-tolerant COM;true;green
10;convergence;Anguilla Customer;Nepalese Rupee collaborative;39557;Assimilated Buckinghamshire;true;deposit indexing
